Name,Description,chr,start,stop,strand,length,Gen0_ORFhits,Gen0_MinORFPosition(%),Gen0_MaxORFPosition(%),Gen0_ORFdensity (HPKM),Gen0_1kbUpStreamhits,Gen0_NearestUpStreamhit,Gen0_1kbDownStreamhits,Gen0_NearestDownStreamhit,Gen0_Flankdensity (HPKM),Gen0_ORFHitsLast10%,Gen0_IntronHits,Gen0_Pval,Gen0_ExpORFhits,Gen0_CorrectionRatio(R),Gen80_GLU_Pval,Gen80_GLY_Pval,Gen0Class,Gen80Classification,Gen80GLU Z score,Gen20GLU Z score,Gen0,Gen20GLY Z score,Gen80GLY Z score,YALI1_norm,YALI0 locus ID,YALI1 Locus ID,Gene Type,Chromosome,Start Base,End Base,Strand,Annotation,YALI0_norm
YALI1_A02096g,  weakly similar to uniprot|Q9XBG6 Bradyrhizobium japonicum YaeN protein,Yali1A,209629,210909,+,1281,0,na,na,0.0,18,-66,5,305,21.51,0,0,0.047869,3.03929749276,0.245874496582,0.205518,0.21901,Essential,Essential,na,na,na,na,na,YALI1_A02096g,YALI0A01760g,YALI1_A02096g,mRNA,YALI1A,209629.0,210909.0,+,  weakly similar to uniprot|Q9XBG6 Bradyrhizobium japonicum YaeN protein,YALI0_A01760g
YALI1_A02131g,"  weakly similar to uniprot|P32357 Saccharomyces cerevisiae YBL074c AAR2 A1 cistron splicing factor,similar to Saccharomyces cerevisiae AAR2 (YBL074C)%3B ancestral locus Anc_7.396",Yali1A,212051,213196,-,1146,0,na,na,0.0,28,-207,6,129,31.8,0,0,0.016978,4.07582139777,0.368603877884,0.022024,0.089862,Essential,Essential,na,na,na,na,na,YALI1_A02131g,YALI0A01782g,YALI1_A02131g,mRNA,YALI1A,212051.0,213196.0,-,"  weakly similar to uniprot|P32357 Saccharomyces cerevisiae YBL074c AAR2 A1 cistron splicing factor,similar to Saccharomyces cerevisiae AAR2 (YBL074C)%3B ancestral locus Anc_7.396",YALI0_A01782g
YALI1_A02461g,"similar to Saccharomyces cerevisiae RFC3 (YNL290W)%3B ancestral locus Anc_3.69,  similar to uniprot|P38629 Saccharomyces cerevisiae YNL290w RFC3 DNA replication factor C 40 kDa subunit",Yali1A,245095,246171,-,1077,0,na,na,0.0,33,-17,31,5,59.86,0,0,0.000702,7.26225897773,0.698891409559,0.004439,0.027794,Essential,Essential,na,na,na,na,na,YALI1_A02461g,YALI0A02068g,YALI1_A02461g,mRNA,YALI1A,245095.0,246171.0,-,"similar to Saccharomyces cerevisiae RFC3 (YNL290W)%3B ancestral locus Anc_3.69,  similar to uniprot|P38629 Saccharomyces cerevisiae YNL290w RFC3 DNA replication factor C 40 kDa subunit",YALI0_A02068g
YALI1_A02833g,"  similar to uniprot|Q02201 Saccharomyces cerevisiae YKR003w,similar to Saccharomyces cerevisiae OSH7 (YHR001W) and OSH6 (YKR003W)%3B ancestral locus Anc_2.513",Yali1A,283366,285048,+,1683,7,29.72652,99.94055,7.9,71,-77,22,6,86.98,1,0,0.005223,16.2433555212,1.0264217376,0.010887,0.003921,Essential,Essential,-0.9346,-0.489316666667,-0.060175,-0.41054,0.0972,YALI1_A02833g,YALI0A02354g,YALI1_A02833g,mRNA,YALI1A,283678.0,285048.0,+,"  similar to uniprot|Q02201 Saccharomyces cerevisiae YKR003w,similar to Saccharomyces cerevisiae OSH7 (YHR001W) and OSH6 (YKR003W)%3B ancestral locus Anc_2.513",YALI0_A02354g
YALI1_A02974g,"  weakly similar to uniprot|P42951 Saccharomyces cerevisiae YJL100W Hypothetical 70.2 kDa protein in GSH1- CHS6 intergenic region,similar to Saccharomyces cerevisiae LSB6 (YJL100W)%3B ancestral locus Anc_1.266",Yali1A,295191,297479,-,2289,5,1.70455,57.43007,4.15,43,-1,7,271,46.76,0,0,0.014583,11.7668521882,0.532542802541,0.033847,0.012307,Essential,Essential,-0.3783,-0.31515,-0.3009,-1.1195,-0.5293,YALI1_A02974g,YALI0A02453g,YALI1_A02974g,mRNA,YALI1A,295191.0,297479.0,-,"  weakly similar to uniprot|P42951 Saccharomyces cerevisiae YJL100W Hypothetical 70.2 kDa protein in GSH1- CHS6 intergenic region,similar to Saccharomyces cerevisiae LSB6 (YJL100W)%3B ancestral locus Anc_1.266",YALI0_A02453g
YALI1_A03069g,"similar to Saccharomyces cerevisiae FOL1 (YNL256W)%3B ancestral locus Anc_1.104,  similar to uniprot|P53848 Saccharomyces cerevisiae YNL256w FOL1 Dihydroneopterin aldolase dihydro-6- hydroxymethylpterin pyrophosphokinase dihydropteroate synthetase",Yali1A,304652,306931,-,2280,0,na,na,0.0,26,-226,11,88,34.61,0,0,0.000374,7.89138579147,0.358557814392,0.000314,0.004835,Essential,Essential,na,na,na,na,na,YALI1_A03069g,YALI0A02541g,YALI1_A03069g,mRNA,YALI1A,304652.0,306931.0,-,"similar to Saccharomyces cerevisiae FOL1 (YNL256W)%3B ancestral locus Anc_1.104,  similar to uniprot|P53848 Saccharomyces cerevisiae YNL256w FOL1 Dihydroneopterin aldolase dihydro-6- hydroxymethylpterin pyrophosphokinase dihydropteroate synthetase",YALI0_A02541g
YALI1_A03081g,"similar to Saccharomyces cerevisiae COQ10 (YOL008W)%3B ancestral locus Anc_6.36,  weakly similar to uniprot|Q08058 Saccharomyces cerevisiae YOL008w hypothetical ORF",Yali1A,307901,308919,-,1019,0,na,na,0.0,9,-24,26,78,32.74,0,0,0.022809,3.78059239308,0.384558415525,0.102318,0.172641,Essential,Essential,na,na,na,na,na,YALI1_A03081g,YALI0A02563g,YALI1_A03081g,mRNA,YALI1A,307901.0,308919.0,-,"similar to Saccharomyces cerevisiae COQ10 (YOL008W)%3B ancestral locus Anc_6.36,  weakly similar to uniprot|Q08058 Saccharomyces cerevisiae YOL008w hypothetical ORF",YALI0_A02563g
YALI1_A03153g,  similar to uniprot|P19968 Neurospora crassa NADH- ubiquinone oxidoreductase 21.3 kDa subunit (EC 1.6.5.3) (EC 1.6.99.3),Yali1A,315316,316240,+,925,1,98.80952,98.80952,2.05,46,-21,59,70,98.21,1,0,0.001189,8.92322265256,1.17639607248,0.00384,0.030728,Essential,Essential,na,-0.9973,-0.5835,-1.3376,-0.6849,YALI1_A03153g,YALI0A02651g,YALI1_A03153g,mRNA,YALI1A,315316.0,316240.0,+,  similar to uniprot|P19968 Neurospora crassa NADH- ubiquinone oxidoreductase 21.3 kDa subunit (EC 1.6.5.3) (EC 1.6.99.3),YALI0_A02651g
YALI1_A03183g,"  similar to uniprot|P40217 Saccharomyces cerevisiae YMR146c TIF34 translation initiation factor eIF3 p39 subunit,similar to Saccharomyces cerevisiae TIF34 (YMR146C)%3B ancestral locus Anc_2.380",Yali1A,318363,319376,+,1014,0,na,na,0.0,25,-84,22,126,43.96,0,0,0.00638,5.0545419658,0.516681132557,0.035905,0.037185,Essential,Essential,na,na,na,na,na,YALI1_A03183g,YALI0A02695g,YALI1_A03183g,mRNA,YALI1A,318363.0,319382.0,+,"  similar to uniprot|P40217 Saccharomyces cerevisiae YMR146c TIF34 translation initiation factor eIF3 p39 subunit,similar to Saccharomyces cerevisiae TIF34 (YMR146C)%3B ancestral locus Anc_2.380",YALI0_A02695g
YALI1_A03278g,"similar to Saccharomyces cerevisiae MRPL27 (YBR282W)%3B ancestral locus Anc_1.304,  similar to uniprot|P36526 Saccharomyces cerevisiae YBR282W 60S ribosomal protein L27 mitochondrial precursor (YmL27)",Yali1A,327861,328286,+,426,0,na,na,0.0,50,-113,13,43,58.92,0,0,0.04823,3.03177883483,0.738684231408,0.100599,0.219876,Essential,Essential,na,na,na,na,na,YALI1_A03278g,YALI0A02849g,YALI1_A03278g,mRNA,YALI1A,327921.0,328286.0,+,"similar to Saccharomyces cerevisiae MRPL27 (YBR282W)%3B ancestral locus Anc_1.304,  similar to uniprot|P36526 Saccharomyces cerevisiae YBR282W 60S ribosomal protein L27 mitochondrial precursor (YmL27)",YALI0_A02849g
YALI1_A03322g,"  similar to uniprot|P08067 Saccharomyces cerevisiae YEL024w RIP1 ubiquinol--cytochrome-c reductase iron-sulfur protein precursor singleton,similar to Saccharomyces cerevisiae RIP1 (YEL024W)%3B ancestral locus Anc_1.461",Yali1A,332250,332927,+,678,1,74.5938,74.5938,2.8,40,-136,54,88,87.92,0,0,0.009464,6.53790231145,1.08298656054,0.004151,0.02847,Essential,Essential,na,na,-1.1544,na,na,YALI1_A03322g,YALI0A02915g,YALI1_A03322g,mRNA,YALI1A,332250.0,332927.0,+,"  similar to uniprot|P08067 Saccharomyces cerevisiae YEL024w RIP1 ubiquinol--cytochrome-c reductase iron-sulfur protein precursor singleton,similar to Saccharomyces cerevisiae RIP1 (YEL024W)%3B ancestral locus Anc_1.461",YALI0_A02915g
YALI1_A03396g,  weakly similar to uniprot|Q9C232 Neurospora crassa Conserved hypothetical protein,Yali1A,338562,340007,-,1446,2,24.01384,86.29758,1.31,70,-29,10,8,74.82,0,1,7.2e-05,12.0276723385,0.861914095069,0.003418,0.012739,Essential,Essential,na,na,-0.5835,na,-0.3491,YALI1_A03396g,YALI0A02981g,YALI1_A03396g,mRNA,YALI1A,338562.0,339488.0,-,  weakly similar to uniprot|Q9C232 Neurospora crassa Conserved hypothetical protein,YALI0_A02981g
YALI1_A03402g,"similar to Saccharomyces cerevisiae YNR036C%3B ancestral locus Anc_6.352,  highly similar to uniprot|P53732 Saccharomyces cerevisiae Putative mitochondrial 40S ribosomal protein YNR036C",Yali1A,340250,340759,+,510,0,na,na,0.0,68,-94,7,48,70.15,0,0,0.013816,4.28189317495,0.871100549119,0.039335,0.107145,Essential,Essential,na,na,na,na,na,YALI1_A03402g,YALI0A03003g,YALI1_A03402g,mRNA,YALI1A,340340.0,340759.0,+,"similar to Saccharomyces cerevisiae YNR036C%3B ancestral locus Anc_6.352,  highly similar to uniprot|P53732 Saccharomyces cerevisiae Putative mitochondrial 40S ribosomal protein YNR036C",YALI0_A03003g
YALI1_A03422g,"similar to Saccharomyces cerevisiae ARC35 (YNR035C)%3B ancestral locus Anc_6.351,  similar to uniprot|O14241 Schizosaccharomyces pombe Probable ARP2/3 complex 34 kDa subunit (P34-ARC)",Yali1A,341291,342259,-,969,0,na,na,0.0,24,-54,7,109,28.99,0,0,0.04072,3.20104148713,0.342425569811,0.085029,0.227346,Essential,Essential,na,na,na,na,na,YALI1_A03422g,YALI0A03025g,YALI1_A03422g,mRNA,YALI1A,341291.0,342259.0,-,"similar to Saccharomyces cerevisiae ARC35 (YNR035C)%3B ancestral locus Anc_6.351,  similar to uniprot|O14241 Schizosaccharomyces pombe Probable ARP2/3 complex 34 kDa subunit (P34-ARC)",YALI0_A03025g
YALI1_A03624g,  similar to uniprot|P23287 Saccharomyces cerevisiae YLR433c CNA1 calcineurin B catalytic subunit (Serine/threonine protein phosphatase),Yali1A,360845,362494,-,1650,4,6.18557,88.29594,4.6,78,-75,6,211,78.57,0,0,0.000976,14.4311806223,0.90621542113,0.036834,0.005797,Essential,Essential,-0.519166666667,-0.27138,-0.00333333333333,-0.535975,-0.0033,YALI1_A03624g,YALI0A03245g,YALI1_A03624g,mRNA,YALI1A,360845.0,362494.0,-,  similar to uniprot|P23287 Saccharomyces cerevisiae YLR433c CNA1 calcineurin B catalytic subunit (Serine/threonine protein phosphatase),YALI0_A03245g
YALI1_A03643r,codon recognized: CUU,Yali1A,364383,364482,+,100,0,na,na,0.0,57,-112,23,96,74.82,0,0,0.394093,0.93116777831,0.973964183415,0.476887,0.070501,Non-Essential,Essential,na,na,na,na,-0.3994,YALI1_A03643r,YALI0A03355r,YALI1_A03643r,tRNA,YALI1A,364383.0,364482.0,+,"codon recognized: CUU,tRNA Leu (AAG)",YALI0_A03355r
YALI1_A03757g,"similar to Saccharomyces cerevisiae NOP4 (YPL043W)%3B ancestral locus Anc_8.491,  similar to uniprot|P37838 Saccharomyces cerevisiae YPL043w NOP4 nucleolar protein P15",Yali1A,373605,375710,-,2106,3,73.39667,97.81473,2.7,19,-93,42,85,57.05,2,0,0.000953,12.8165013855,0.63047465141,0.008912,0.090798,Essential,Essential,-1.1143,-0.2457,-0.9226,na,-1.2975,YALI1_A03757g,YALI0A03509g,YALI1_A03757g,mRNA,YALI1A,373605.0,375710.0,-,"similar to Saccharomyces cerevisiae NOP4 (YPL043W)%3B ancestral locus Anc_8.491,  similar to uniprot|P37838 Saccharomyces cerevisiae YPL043w NOP4 nucleolar protein P15",YALI0_A03509g
YALI1_A04022g,"  highly similar to uniprot|P32481 Saccharomyces cerevisiae YER025w GCD11 translation initiation factor eIF2 gamma chain,similar to Saccharomyces cerevisiae GCD11 (YER025W)%3B ancestral locus Anc_7.513",Yali1A,402214,403815,+,1602,2,5.49656,92.25484,2.37,38,-97,13,10,47.7,1,0,0.007469,8.47898404927,0.548406669567,0.000217,0.005427,Essential,Essential,na,-1.0616,-0.5151,na,na,YALI1_A04022g,YALI0A03839g,YALI1_A04022g,mRNA,YALI1A,402214.0,403815.0,+,"  highly similar to uniprot|P32481 Saccharomyces cerevisiae YER025w GCD11 translation initiation factor eIF2 gamma chain,similar to Saccharomyces cerevisiae GCD11 (YER025W)%3B ancestral locus Anc_7.513",YALI0_A03839g
YALI1_A04119g,"  highly similar to uniprot|P36160 Saccharomyces cerevisiae YKR081c,similar to Saccharomyces cerevisiae RPF2 (YKR081C)%3B ancestral locus Anc_5.674",Yali1A,411924,412889,+,966,9,88.91192,95.54404,1.97,44,-117,54,113,91.66,8,0,0.000836,9.31916651485,1.18229887303,0.000361,0.025575,Essential,Essential,0.522,0.7026,0.4057,1.41704285714,0.91822,YALI1_A04119g,YALI0A03905g,YALI1_A04119g,mRNA,YALI1A,411924.0,412889.0,+,"  highly similar to uniprot|P36160 Saccharomyces cerevisiae YKR081c,similar to Saccharomyces cerevisiae RPF2 (YKR081C)%3B ancestral locus Anc_5.674",YALI0_A03905g
YALI1_A04385g, weakly similar to uniprot|Q92389 Yarrowia lipolytica Acid extracellular protease precursor,Yali1A,438325,439527,-,1203,1,82.19634,82.19634,0.0,51,-93,6,390,53.31,0,1,0.000706,7.2556976033,0.625064664016,0.041804,0.066291,Essential,Essential,-0.9632,-0.7748,na,-1.1091,na,YALI1_A04385g,YALI0A04125g,YALI1_A04385g,mRNA,YALI1A,438574.0,439560.0,+, weakly similar to uniprot|Q92389 Yarrowia lipolytica Acid extracellular protease precursor,YALI0_A04125g
YALI1_A04462g,  similar to uniprot|Q00416 Saccharomyces cerevisiae YLR430w SEN1 positive effector of tRNA-splicing endonuclease,Yali1A,445373,447597,-,2225,6,19.42446,91.45683,4.27,9,-239,36,102,42.09,2,1,0.026778,10.669728114,0.496785385855,0.027515,0.038101,Essential,Essential,0.5374,0.2333,0.4425,0.1545,-0.88735,YALI1_A04462g,YALI0A04279g,YALI1_A04462g,mRNA,YALI1A,445373.0,447597.0,-,  similar to uniprot|Q00416 Saccharomyces cerevisiae YLR430w SEN1 positive effector of tRNA-splicing endonuclease,YALI0_A04279g
YALI1_A04561g,"similar to Saccharomyces cerevisiae CDC73 (YLR418C)%3B ancestral locus Anc_4.290,  similar to uniprot|Q06697 Saccharomyces cerevisiae YLR418c CDC73 DNA-directed RNA polymerase II accessory protein",Yali1A,455078,456139,-,1062,0,na,na,0.0,29,-23,29,30,54.25,0,0,0.001504,6.49995583193,0.634373836752,0.007413,0.036012,Essential,Essential,na,na,na,na,na,YALI1_A04561g,YALI0A04345g,YALI1_A04561g,mRNA,YALI1A,455078.0,456139.0,-,"similar to Saccharomyces cerevisiae CDC73 (YLR418C)%3B ancestral locus Anc_4.290,  similar to uniprot|Q06697 Saccharomyces cerevisiae YLR418c CDC73 DNA-directed RNA polymerase II accessory protein",YALI0_A04345g
YALI1_A05052g,  some similarities with uniprot|P38112 Saccharomyces cerevisiae YBR142W ATP-dependent RNA helicase MAK5,Yali1A,505276,508272,+,2997,2,43.8251,97.73031,1.27,32,-2,6,119,35.54,1,0,0.001506,10.5100229391,0.363255414555,0.005429,0.009098,Essential,Essential,-0.5011,-0.059,0.1722,-0.88145,-1.0787,YALI1_A05052g,YALI0A04939g,YALI1_A05052g,mRNA,YALI1A,505276.0,508272.0,+,  some similarities with uniprot|P38112 Saccharomyces cerevisiae YBR142W ATP-dependent RNA helicase MAK5,YALI0_A04939g
YALI1_A05116g,"similar to Saccharomyces cerevisiae TSC13 (YDL015C)%3B ancestral locus Anc_3.184,  similar to uniprot|O94511 Schizosaccharomyces pombe 3- oxo-5-alpha-steroid 4-dehydrogenase",Yali1A,511608,512591,+,984,0,na,na,0.0,79,-46,8,232,81.37,0,0,0.000111,9.10820224679,0.959465557563,0.00033,0.00548,Essential,Essential,na,na,na,na,na,YALI1_A05116g,YALI0A04983g,YALI1_A05116g,mRNA,YALI1A,511608.0,512591.0,+,"similar to Saccharomyces cerevisiae TSC13 (YDL015C)%3B ancestral locus Anc_3.184,  similar to uniprot|O94511 Schizosaccharomyces pombe 3- oxo-5-alpha-steroid 4-dehydrogenase",YALI0_A04983g
YALI1_A05220g,"similar to Saccharomyces cerevisiae YJL062W-A%3B ancestral locus Anc_1.314,  similar to uniprot|Q3E7B2 Saccharomyces cerevisiae YJL062W-A",Yali1A,521825,522761,-,937,0,na,na,0.0,22,-11,44,83,61.73,0,0,0.001344,6.61239899163,0.731532194113,0.012472,0.06215,Essential,Essential,na,na,na,na,na,YALI1_A05220g,YALI0A05137g,YALI1_A05220g,mRNA,YALI1A,521825.0,522761.0,-,"similar to Saccharomyces cerevisiae YJL062W-A%3B ancestral locus Anc_1.314,  similar to uniprot|Q3E7B2 Saccharomyces cerevisiae YJL062W-A",YALI0_A05137g
YALI1_A05254g,"  similar to uniprot|Q12080 Saccharomyces cerevisiae Hypothetical protein YPL146C,similar to Saccharomyces cerevisiae NOP53 (YPL146C)%3B ancestral locus Anc_8.659",Yali1A,524072,525466,-,1395,0,na,na,0.0,14,-132,9,67,21.51,0,0,0.03795,3.27148278326,0.243014454888,0.273244,0.334788,Essential,Essential,na,-0.4755,na,na,-0.0849,YALI1_A05254g,YALI0A05181g,YALI1_A05254g,mRNA,YALI1A,524072.0,525466.0,-,"  similar to uniprot|Q12080 Saccharomyces cerevisiae Hypothetical protein YPL146C,similar to Saccharomyces cerevisiae NOP53 (YPL146C)%3B ancestral locus Anc_8.659",YALI0_A05181g
YALI1_A05355g,  no similarity,Yali1A,535539,536294,+,756,2,31.52318,78.27815,5.03,93,-28,0,na,86.98,0,0,0.018116,7.29116136654,1.07376608109,0.038982,0.063985,Essential,Essential,-0.49115,-0.1001,-0.2095,-0.575,-1.525,YALI1_A05355g,YALI0A05291g,YALI1_A05355g,mRNA,YALI1A,535539.0,536294.0,+,  no similarity,YALI0_A05291g
YALI1_A05473g,"similar to Saccharomyces cerevisiae DPB4 (YDR121W)%3B ancestral locus Anc_8.275,  weakly similar to uniprot|Q04603 Saccharomyces cerevisiae YDR121w DPB4 DNA polymerase II (epsilon) 4th subunit",Yali1A,547382,547873,+,492,1,31.56823,31.56823,3.86,97,-21,15,37,104.75,0,0,0.041367,4.74166918009,1.3151133315,0.017728,0.066014,Essential,Essential,na,na,na,na,na,YALI1_A05473g,YALI0A05401g,YALI1_A05473g,mRNA,YALI1A,547382.0,547873.0,+,"similar to Saccharomyces cerevisiae DPB4 (YDR121W)%3B ancestral locus Anc_8.275,  weakly similar to uniprot|Q04603 Saccharomyces cerevisiae YDR121w DPB4 DNA polymerase II (epsilon) 4th subunit",YALI0_A05401g
YALI1_A05491g,"similar to Saccharomyces cerevisiae SMX3 (YPR182W)%3B ancestral locus Anc_7.539,  similar to wi|NCU01614.1 Neurospora crassa NCU01614. 1 hypothetical protein (related to snRNP protein SMX3)",Yali1A,548886,549885,-,1000,0,na,na,0.0,69,-36,15,136,78.57,0,0,0.000133,8.92206214378,0.924804633912,0.001287,0.015525,Essential,Essential,na,na,na,na,na,YALI1_A05491g,YALI0A05423g,YALI1_A05491g,mRNA,YALI1A,548886.0,549195.0,-,"similar to Saccharomyces cerevisiae SMX3 (YPR182W)%3B ancestral locus Anc_7.539,  similar to wi|NCU01614.1 Neurospora crassa NCU01614. 1 hypothetical protein (related to snRNP protein SMX3)",YALI0_A05423g
